section,order,title,year,dimensions,medium,status,price_dollars,raw_caption,image_url,src_width,src_height,orig_filename,used_original,image_id
abstracts,35,Yearning,2020,"20""x20""",Oil on canvas,sold,,"Yearning (2020). 20”x20”, Oil on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20200421_174039_3%20%281%29_1647180255.jpg,2277,2261,IMG_20200421_174039_3 (1).jpg,False,7b9f47e0-a2d6-11ec-9849-add38c044bdf
abstracts,36,Jupiter's Influence,2021,"16""x16""",Acrylic on canvas,sold,,"Jupiter’s Influence (2021). 16”x16”, Acrylic on canvas. SOLD.",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20210417_213532_433_2_1628209820.jpg,1703,1737,IMG_20210417_213532_433_2.jpg,False,23294001-f64e-11eb-bf6e-33b327d29080
abstracts,37,Youthful Exuberance,2020,"24""x24""",Oil on canvas,sold,,"Youthful Exuberance (2020). 24”x24”, Oil on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20200329_150715_889_2_1628209821.jpg,2419,2434,IMG_20200329_150715_889_2.jpg,False,32f4fb50-f64e-11eb-bf6e-33b327d29080
abstracts,38,Behold,2019,"24""x24""",Oil on canvas,sold,,"Behold (2019). 24""x24"", Oil on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/Capture_1630097755.JPG,985,1000,Capture.JPG,False,2d992050-0779-11ec-b120-b1e28c1d64ba
abstracts,39,Expanding Possibilities,2021,"36""x48""",Acrylic on canvas,sold,,"Expanding Possibilities (2021). 36""x48"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/Capture_1629658592.JPG,1371,1036,Capture.JPG,False,403f9d40-0384-11ec-9c63-dd44e4f63e8e
abstracts,40,Untitled,2021,"36""x48""",Acrylic on canvas,sold,,"Untitled (2021). 36""x48"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20210808_161243193_2_1629658429.jpg,3579,2630,PXL_20210808_161243193_2.jpg,False,d7c28a60-0384-11ec-9c63-dd44e4f63e8e
abstracts,41,The Ascent,2020,"24""x24""",Acrylic on canvas,sold,,"The Ascent (2020). 24""x24"", Acrylic on canvas. SOLD.",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20200720_185621_010_2_1629658435.jpg,2460,2506,IMG_20200720_185621_010_2.jpg,False,dd082e30-0384-11ec-9c63-dd44e4f63e8e
abstracts,42,Confetti,2019,"24""x24""",Oil on canvas,sold,,"Confetti (2019). 24""x24"", Oil on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/_DSC6052-5_1628209826.jpg,2272,2272,_DSC6052-5.jpg,False,40dbf110-f64e-11eb-bf6e-33b327d29080
abstracts,43,Apparitions,2021,"11""x14""",Acrylic on canvas,sold,,"Apparitions (2021). 11""x14"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20210609_112926_089_1628209824.jpg,3511,2878,IMG_20210609_112926_089.jpg,True,a6818480-f64e-11eb-bf6e-33b327d29080
abstracts,44,Trust,2020,"11""x14""",Acrylic on canvas,sold,,"Trust (2020). 11""x14"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20200924_065315_281_2_1629658419.jpg,1291,1032,IMG_20200924_065315_281_2.jpg,False,02df6010-0385-11ec-9c63-dd44e4f63e8e
abstracts,45,Bayou,2019,"24""x48""",Oil on canvas,sold,,"Bayou (2019). 24”x48”, Oil on canvas. SOLD.",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/notyettitled.RI_1647180254.jpg,1153,2462,notyettitled.RI.jpg,False,8d849460-a2d6-11ec-9849-add38c044bdf
abstracts,46,Rising from the Depths,2021,"15""x30""",Acrylic on canvas,sold,,"Rising from the Depths (2021). 15""x30"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20210206_172404_569_2_1629658415.jpg,1482,3064,IMG_20210206_172404_569_2.jpg,False,b0856b70-037a-11ec-9c63-dd44e4f63e8e
abstracts,47,Marriage,2018,"30""x40""",Oil on canvas,sold,,"Marriage (2018). 30""x40"", Oil on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20210710_083853_977_1628208650.jpg,3595,2906,IMG_20210710_083853_977.jpg,True,c4c88320-f64a-11eb-bf6e-33b327d29080
abstracts,48,Too Late,2019,"24""x36""",Oil on canvas,sold,,"Too Late (2019). 24""x36"", Oil on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/_DSC6025-2_1628209824.jpg,2286,3437,_DSC6025-2.jpg,False,40dbf111-f64e-11eb-bf6e-33b327d29080
abstracts,49,Pushing Through the Pain,2020,"20""x24""",Oil on canvas,sold,,"Pushing Through the Pain (2020). 20”x24”, Oil on canvas. SOLD.",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20200905_084017_844_2_1628209819.jpg,1187,1420,IMG_20200905_084017_844_2.jpg,False,047572a2-f64e-11eb-bf6e-33b327d29080
cityscapes-seascapes,0,Race Point Beach,2023,"48""x36""",Acrylic on canvas,available,6500,"Race Point Beach (2023). 48""x36"". Acrylic on canvas. $6500",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/Race%20Point%20Beach%20snip_1699797291.PNG,753,564,Race Point Beach snip.PNG,False,0edeec60-8163-11ee-b550-3717f2e62a9c
cityscapes-seascapes,1,Still Waters Reflection,2023,"48""x36""",Acrylic on canvas,available,4250,"Still Waters Reflection (2023). 48""x36"", Acrylic on canvas. $4250",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20230510_123222958~3_1683901256.jpg,2246,1810,PXL_20230510_123222958~3.jpg,False,37763170-f0d0-11ed-808c-57100a1e5eb8
cityscapes-seascapes,2,Mountain Splendor,2022,"30""x48""",Oil on canvas,sold,,"Mountain Splendor (2022). 30”x48”, Oil on canvas. SOLD.",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20220408_195514588_9_1649762666.jpg,2234,1394,PXL_20220408_195514588_9.jpg,False,1e1cd260-ba53-11ec-940f-59d93102e759
cityscapes-seascapes,3,Vista,2022,"18""x24""",Acrylic on canvas,sold,,"Vista (2022). 18”x24”, Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20220208_134826963_2%20%281%29_1645232275.jpg,3108,2322,PXL_20220208_134826963...(1).jpg,False,6f5ab430-ba53-11ec-940f-59d93102e759
cityscapes-seascapes,4,City Vibes,2022,"24""x24""",Acrylic on canvas,available,600,"City Vibes (2022). 24”x24”, Acrylic on canvas. $600",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20220208_134641264_2%20%281%29_1645232275.jpg,2535,2560,PXL_20220208_134641264...(1).jpg,False,904b9950-911f-11ec-8f32-4d3e31b39c4a
cityscapes-seascapes,5,Pilgrim monument 1,2023,"12""x12""",Acrylic on canvas,sold,,"Pilgrim monument 1 (2023). 12""x12"" Acrylic on canvas. SOLD.",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/Pilgrim%20monument%201_1683381898.jpg,2757,2757,Pilgrim monument 1.jpg,False,efcd7370-ec19-11ed-b21e-872c2328bf93
cityscapes-seascapes,6,"Pilgrim Monument, 2",2023,"12""x24""",Acrylic on canvas,sold,,"Pilgrim Monument, 2 (2023). 12""x24"" Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/Pilgrim%20monument%202_1683381898.jpg,1730,3500,Pilgrim monument 2.jpg,False,efcd7371-ec19-11ed-b21e-872c2328bf93
cityscapes-seascapes,7,Untitled,2020,"24""x30""",Acrylic on canvas,sold,,"Untitled (2020). 24""x30"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20201123_120520_2_1628207841.jpg,3119,2519,IMG_20201123_120520_2.jpg,True,e5d805b0-f648-11eb-bf6e-33b327d29080
cityscapes-seascapes,8,Cityscape,2019,,Oil on canvas,sold,,Cityscape (2019). Oil on canvas. SOLD,https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/city_1629652318.JPG,1884,942,city.JPG,False,11f409c0-036c-11ec-ba7a-312052656fe3
cityscapes-seascapes,9,Unrest Begets Hope,2019,"20""x20""",Oil on canvas,sold,,"Unrest Begets Hope (2019). 20""x20"", Oil on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/_DSC6018-6-1_1628209822.jpg,2324,2307,_DSC6018-6-1.jpg,False,90f2df10-f64e-11eb-bf6e-33b327d29080
cityscapes-seascapes,10,Provincetown Pier,2021,"24""x24""",Acrylic on canvas,sold,,"Provincetown Pier (2021). 24""x24"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20210205_130935_186_2_1628209820.jpg,1133,1112,IMG_20210205_130935_186_2.jpg,False,04754b91-f64e-11eb-bf6e-33b327d29080
cityscapes-seascapes,11,Crashing Gently,2018,"10""x10""",Oil on canvas,sold,,"Crashing Gently (2018). 10""x10"", Oil on canvas. SOLD.",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/new_1629652177.JPG,1033,1023,new.JPG,False,c9828180-036b-11ec-ba7a-312052656fe3
cityscapes-seascapes,12,Seascape,2018,"12""x36""",Oil on canvas,sold,,"Seascape (2018). 12""x36"", Oil on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/seascape_1629648934.JPG,2421,801,seascape.JPG,False,3d39a150-0365-11ec-ba7a-312052656fe3
cityscapes-seascapes,13,"Playa el Pimental, El Salvador",2018,"24""x24""",Oil on canvas,sold,,"Playa el Pimental, El Salvador (2018). 24""x24"", Oil on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/playa_1629649138.JPG,1128,1128,playa.JPG,False,3d39c860-0365-11ec-ba7a-312052656fe3
florals,0,Serenity,2021,"30""x40""",Acrylic on canvas,sold,,"Serenity (2021). 30""x40"", Acrylic on canvas. SOLD.",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/flowers%20%281%20of%201%29_1625254449.jpg,2590,1727,flowers (1 of 1).jpg,False,945755e0-f645-11eb-bf6e-33b327d29080
florals,1,Untitled,2020,"11""x14""",Acrylic on canvas,sold,,"Untitled (2020). 11""x14"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20200720_185039_453_2_1628209819.jpg,1969,2529,IMG_20200720_185039_453_2.jpg,False,32f4fb51-f64e-11eb-bf6e-33b327d29080
florals,2,In Bloom,2018,"36""x36""",Oil on canvas,sold,,"In Bloom (2018). 36""x36"", Oil on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/In%20bloom.RI_1628207081.jpg,2500,2452,In bloom.RI.jpg,False,22755d80-f647-11eb-bf6e-33b327d29080
florals,3,Meadow,2020,"12""x12""",Acrylic on canvas,sold,,"Meadow (2020). 12""x12"", Acrylic on canvas. SOLD.",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20210827_213837871%20%281%29_1630100673.jpg,2797,2796,PXL_20210827_213837871 (1).jpg,False,f8b25300-077f-11ec-b120-b1e28c1d64ba
florals,4,Rose,2018,"10""x10""",Oil on canvas,sold,,"Rose (2018). 10""x10"". Oil on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/rose_1629658458.JPG,751,740,rose.JPG,False,d6a90fa0-037a-11ec-9c63-dd44e4f63e8e
